"","Year","Temp","GHG","AerosolDirect","AerosolIndirect","Volcanic","Solar","ENSO","AMV","PDO"
"35",1934,-0.13,0.819281,0.0191374,-0.160143,-0.0057507,-0.0355651,-0.748402777777777,0.880997157725125,0.201328559557396
"36",1935,-0.2,0.83307,0.0181354,-0.160335,-0.0146082,-0.00343288,-0.305642361111111,0.767970477370609,1.08375279250805
"37",1936,-0.15,0.846493,0.0171616,-0.164405,0.0105129,0.0555783,0.090607638888889,0.93827984186293,1.53331458719725
"38",1937,-0.03,0.856796,0.0161772,-0.166217,0.0224622,0.0415731,0.0415451388888893,0.756591499656824,0.477729961636129
"39",1938,0,0.865908,0.0151998,-0.168842,-0.032677,0.0317308,-0.198559027777778,1.03599835187825,0.334068747066794
"40",1939,-0.02,0.873828,0.0142154,-0.169708,-0.0112221,0.0307267,-0.439965277777778,0.765088520167898,0.817456263347708
"41",1940,0.13,0.88102,0.0132427,-0.175072,0.0105044,0.0230199,0.539305555555556,0.812850494858728,1.531303877021
"42",1941,0.19,0.887486,0.012116,-0.177757,0.0435125,0.0120462,0.988576388888889,0.567700729657565,1.92857894621889
"43",1942,0.07,0.891662,0.0109981,-0.184724,-0.0152146,-0.00315444,0.320659722222223,0.682267988396007,0.741516032136389
"44",1943,0.09,0.895506,0.00988123,-0.191823,-0.0124367,-0.0274096,-0.817413194444445,0.306039581967998,-0.26903750657263
"45",1944,0.2,0.899753,0.0087705,-0.19935,0.0353806,-0.0221928,-0.142465277777778,0.7734024662196,0.335704490292727
"46",1945,0.09,0.906437,0.00765132,-0.20682,0.0384792,0.0187391,-0.492048611111111,0.582109873687982,-0.144065272843278
"47",1946,-0.07,0.913093,0.00654371,-0.213729,0.04735,0.0289465,-0.397986111111111,0.151730647009015,-0.818364660014282
"48",1947,-0.03,0.922942,0.00545409,-0.218813,0.0331458,0.0630422,-0.121892361111112,-0.173209137535633,-0.578354228887633
"49",1948,-0.11,0.93278,0.00435049,-0.225662,0.051691,0.0862694,-0.0516319444444442,0.271342830115333,0.156355154501625
"50",1949,-0.11,0.945407,0.00325136,-0.232752,0.00732618,0.0708083,-0.231059027777778,0.230911293613301,-2.11170887802726
"51",1950,-0.17,0.959715,0.00213949,-0.239988,0.0205057,0.0363294,-1.02725694444444,0.280192037572323,-1.76179236827389
"52",1951,-0.07,0.975506,-6e-04,-0.24908,0.0410707,-0.00050662,-0.477986111111111,0.57415934669219,-1.37359179642306
"53",1952,0.01,0.993163,-0.0033363,-0.25906,0.00208404,0.000941299,0.174774305555556,0.80632155837556,-1.25425993045093
"54",1953,0.08,1.01303,-0.0060816,-0.267895,0.00632932,-0.0200737,0.121753472222222,0.528754606754314,-0.386154752903479
"55",1954,-0.13,1.03395,-0.008837,-0.278527,0.00575258,-0.0151782,-0.172100694444445,0.623478826668854,-0.940722659818732
"56",1955,-0.14,1.05743,-0.0115688,-0.290051,0.0486291,0.00193419,-0.992621527777778,0.841660693709007,-0.43701047996835
"57",1956,-0.19,1.08192,-0.0142859,-0.30044,0.0655603,0.0790783,-1.10918402777778,0.617107778969257,-2.72665035796479
"58",1957,0.05,1.10712,-0.0170174,-0.311566,0.080244,0.132273,-0.0921006944444444,0.228154418092883,-1.3650203847088
"59",1958,0.06,1.13271,-0.0197326,-0.321466,0.0857856,0.126524,0.715399305555556,0.284973844911636,0.0699492100836352
"60",1959,0.03,1.16073,-0.0224414,-0.326648,0.0877972,0.0879631,0.0515972222222226,0.0069182366658095,0.184881121403961
"61",1960,-0.02,1.19156,-0.0251673,-0.334933,-0.0343303,0.0761136,-0.108559027777777,0.16140676059858,0.352965895660617
"62",1961,0.06,1.22277,-0.031052,-0.345751,-0.199114,0.0241039,-0.0904861111111111,0.210110953573461,0.569060125742155
"63",1962,0.04,1.2529,-0.0369267,-0.356363,-0.271659,-0.00221884,-0.329184027777778,0.150067420157137,-1.66882604471381
"64",1963,0.05,1.28201,-0.0427922,-0.367243,-1.21606,-0.00971571,-0.0585069444444445,0.0280317956330002,-0.449818777317191
"65",1964,-0.2,1.31074,-0.048653,-0.376763,-1.8196,-0.00851235,0.0721180555555548,0.23340359547686,-0.599923271371466
"66",1965,-0.11,1.34391,-0.0544947,-0.386148,-0.992345,-0.00321265,-0.21954861111111,0.428217850159455,-1.08737104097277
"67",1966,-0.06,1.38301,-0.0603586,-0.39511,-0.477081,0.0239352,0.777690972222222,0.272091147908362,-0.472929985854016
"68",1967,-0.02,1.42326,-0.0662126,-0.405615,-0.278397,0.0513645,-0.310590277777778,0.378665422270083,-0.4341616078326
"69",1968,-0.08,1.46553,-0.0720398,-0.414143,-0.62552,0.0588345,-0.317152777777778,-0.184839318354671,-0.544686786620495
"70",1969,0.05,1.51279,-0.0778519,-0.423298,-0.762485,0.0721449,0.510295138888889,-0.15176904606001,-1.08604145066597
"71",1970,0.02,1.55869,-0.0836855,-0.433303,-0.316835,0.0708393,0.144201388888889,0.0126980287186192,0.856435346652329
"72",1971,-0.08,1.60218,-0.0869797,-0.447847,-0.0712457,0.0286216,-0.951423611111111,0.248707497858133,-1.51100920806679
"73",1972,0.01,1.65152,-0.0902329,-0.463324,-0.0118426,0.0436716,-0.0776736111111107,-0.204904380345654,-1.87775537966458
"74",1973,0.16,1.70736,-0.0934909,-0.476633,-0.114358,0.00569164,0.526597222222222,-0.0180713590893977,-0.351540029939788
"75",1974,-0.07,1.75589,-0.0967285,-0.489377,-0.24866,-0.00532967,-1.29798611111111,-0.300813575352374,-1.26797352950983
"76",1975,-0.01,1.80329,-0.0999696,-0.498719,-0.668929,-0.0347838,-0.794131944444445,0.169488877417528,-0.495636937142688
"77",1976,-0.1,1.85415,-0.103195,-0.509644,-0.248317,-0.0173482,-0.813559027777777,-0.0516034535080078,-1.53865038750917
"78",1977,0.18,1.91338,-0.1064,-0.52388,-0.0359459,0.011627,0.457118055555556,0.0975794671620736,1.30618646493917
"79",1978,0.07,1.97286,-0.109615,-0.535311,-0.114534,0.0774933,0.187847222222223,0.0512923064761932,0.37205866594941
"80",1979,0.16,2.03459,-0.112813,-0.545321,-0.136846,0.130856,-0.0442361111111113,0.0887259420591304,-0.569756798019235
"81",1980,0.26,2.09837,-0.116014,-0.557516,-0.0294989,0.132923,0.268003472222222,0.00150902108064731,0.362836514030327
"82",1981,0.32,2.15487,-0.12073,-0.572096,-0.0378411,0.13994,-0.141684027777778,0.320359208706577,0.671550974352932
"83",1982,0.14,2.2082,-0.125468,-0.58629,-1.36407,0.0759392,0.254930555555556,-0.245817666305602,0.419648957050086
"84",1983,0.31,2.26496,-0.130196,-0.603796,-1.76171,0.0670462,1.36289930555556,0.0929981937879269,0.666436837028044
"85",1984,0.15,2.32299,-0.134929,-0.617826,-0.602579,0.00629366,-0.683454861111111,0.162462264038729,1.46307272332635
"86",1985,0.11,2.37788,-0.139615,-0.630432,-0.207053,-0.017927,-0.866631944444444,-0.331257817788632,0.981564717094301
"87",1986,0.18,2.43121,-0.144299,-0.643057,-0.23363,-0.0183114,-0.364184027777778,-0.355762732252571,0.984266886343605
"88",1987,0.32,2.48935,-0.148991,-0.657189,-0.150298,0.00516725,1.06878472222222,-0.0246659912380322,1.87998926316956
"89",1988,0.38,2.5529,-0.153621,-0.669425,-0.0816727,0.0475575,0.0476909722222227,0.109641078424239,1.15867597946173
"90",1989,0.27,2.61264,-0.158265,-0.680466,-0.0454861,0.132349,-1.31392361111111,-0.0215241601916086,-0.788061068790242
"91",1990,0.45,2.66363,-0.16289,-0.690995,-0.0479264,0.118963,0.0167013888888896,-0.336051164373712,-0.448558939796527
"92",1991,0.4,2.70555,-0.165619,-0.691844,-1.51823,0.100407,0.323524305555556,-0.336916294593361,-1.77493162440369
"93",1992,0.22,2.74021,-0.168316,-0.695657,-2.92931,0.0816624,0.997690972222222,-0.20149099909535,0.193856515633001
"94",1993,0.23,2.77045,-0.170999,-0.696494,-1.05175,0.0410517,0.302118055555555,-0.173401665148107,0.284337051574809
"95",1994,0.31,2.80511,-0.173677,-0.696525,-0.36122,0.00593672,0.165190972222223,-0.368648601723392,0.972571016416509
"96",1995,0.44,2.84522,-0.176328,-0.697818,-0.133344,-0.00876114,0.503420138888889,0.125297669032044,-0.646058177536105
"97",1996,0.32,2.88519,-0.178961,-0.696683,-0.0647351,-0.0223544,-0.483923611111111,0.309201095074605,0.457901495513511
"98",1997,0.46,2.92642,-0.181594,-0.696581,-0.0324204,-0.0026152,0.329409722222222,0.290316621637545,0.136122438258781
"99",1998,0.61,2.97349,-0.184211,-0.696124,0.0290029,0.0524388,1.21821180555556,0.577222033566507,1.10385456483971
"100",1999,0.39,3.01788,-0.186815,-0.695986,0.0680624,0.0953087,-1.08303819444444,0.507713090056676,-0.45219765471532
"101",2000,0.39,3.053,-0.189362,-0.697751,0.0877972,0.137491,-1.06131944444444,0.48873569633321,-1.43286855268201
